KRZAST;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;PORADIMAND;PORADINAHR
13;19;67;"Tomáš";"Lašák";"Mgr.";"";29;"historik";"Rımaøov";597783;99;720;"A";0;0;"N";0;0
13;19;68;"Jan";"Štìrba";"";"";58;"dopravnì-technickı námìstek MDPO, a.s.";"Opava";505927;720;720;"A";0;0;"N";0;0
13;19;69;"Anna";"Strapáèová";"";"";61;"dùchodkynì";"Široká Niva";597899;99;720;"A";0;0;"N";0;0
13;19;70;"Ondøej";"Václavík";"";"";22;"barman";"Ostrava";4;99;720;"A";0;0;"N";0;0
13;22;1;"Michal";"Kedroutek";"PhDr.";"";42;"uèitel";"Vìtøkovice";570036;83;83;"A";0;0;"N";0;0
13;22;2;"Gustav";"Aulehla";"";"";89;"architekt, fotograf";"Krnov";597520;99;83;"A";0;0;"N";0;0
13;22;3;"Ondøej";"Hetmánek";"Ing. Mgr.";"";42;"stavební projektant";"Ostrava";4;83;83;"A";0;0;"N";0;0
13;22;4;"Marta";"Ullmannová";"";"";49;"bankéø";"Novı Jièín";599191;99;83;"A";0;0;"N";0;0
13;22;5;"Miroslav";"Ondraèka";"";"DiS.";45;"OSVÈ - truhláø";"Suchdol nad Odrou";599930;83;83;"A";0;0;"N";0;0
13;22;6;"Daniel";"Pøikryl";"Bc.";"";38;"hypoteèní poradce";"Ostrava";4;83;83;"A";0;0;"N";0;0
13;22;7;"Pavel";"Opletal";"";"";76;"senior";"Budišov nad Budišovkou";506460;99;83;"A";0;0;"N";0;0
13;22;8;"Jaromír";"Fojtík";"";"";42;"elektrotechnik";"Ostrava";4;99;83;"A";0;0;"N";0;0
13;22;9;"Miroslava";"Hetmánková";"";"";66;"OSVÈ";"Široká Niva";597899;99;83;"A";0;0;"N";0;0
13;22;10;"Even";"Èernoch";"";"";45;"vedoucí dílny";"Ostrava";4;99;83;"A";0;0;"N";0;0
13;22;11;"Marie";"Zajacová";"";"";35;"OSVÈ - realitní makléøka";"Ostrava";4;99;83;"A";0;0;"N";0;0
13;28;1;"Josef";"Krysta";"Mgr.";"";63;"gen.øeditel SŠ Bezpeè.právní akademie,olympionik";"Havíøov";555088;99;1118;"A";0;0;"N";0;0
13;28;2;"Renáta Valerie";"Nešporek";"Ing.";"Ph.D., MBA, LL.M.";50;"1.viceprezidentka ÈM asoc.podnikatelek a manaerek";"Bohumín";599051;99;1118;"A";0;0;"N";0;0
13;28;3;"Zuzana";"Hotová";"MUDr.";"";39;"lékaøka, primáøka gynekologicko-porodnického odd.";"Smilovice";552658;99;1118;"A";0;0;"N";0;0
13;28;4;"Adam";"Rykala";"Ing.";"";34;"ekonom,pøedseda spolku Spoleènì tvoøíme Ostravu";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;5;"Nšan";"Avetisjan";"";"";27;"øeditel obchodního oddìlení spoleènosti Marlenka";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;28;6;"Pavel";"Olšovskı";"RNDr.";"Ph.D.";53;"vìdeckı prac.,projektovı manaer,støedoškol.uèitel";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;28;7;"Lubomír";"Kuznik";"";"";64;"dlouholetı starosta a primátor";"Karviná";598917;99;1118;"A";0;0;"N";0;0
13;28;8;"Miroslava";"Škaldová";"Mgr.";"";56;"øeditelka základní a mateøské školy";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;9;"Matìj";"Benda";"JUDr.";"";27;"právník";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;10;"Michal";"Kawulok";"";"";34;"senior manaer spoleènosti DuoLife";"Tøinec";598810;99;1118;"A";0;0;"N";0;0
13;28;11;"Lydie";"Klimová";"Ing.";"";63;"podnikatelka v oblasti slueb";"Petrovice u Karviné";599077;99;1118;"A";0;0;"N";0;0
13;28;12;"Dagmar";"Malíková";"PhDr.";"";52;"porad.v obl.pojištìní,zastupit.obce,pøed.soc.vıb.";"Hnojník";598160;99;1118;"A";0;0;"N";0;0
13;28;13;"Martin";"Rangl";"PaedDr.";"";54;"vysokoškolskı pedagog";"Opava";505927;99;1118;"A";0;0;"N";0;0
13;28;14;"Zdenìk";"Jakubu";"";"";23;"basketbalista, podnikatel";"Novı Jièín";599191;99;1118;"A";0;0;"N";0;0
13;28;15;"Radek";"Èernı";"Mgr.";"";42;"uèitel základní školy";"Bruntál";597180;99;1118;"A";0;0;"N";0;0
13;28;16;"Jana";"Harmanová";"Mgr. Bc.";"";56;"øeditelka Ústavu digitálního vzdìlávání";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;17;"Martin";"Kopøiva";"Bc.";"";23;"programátor";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;28;18;"Petr";"Szlaur";"Mgr.";"";50;"pastor";"Støíte";552674;99;1118;"A";0;0;"N";0;0
13;28;19;"Eliška";"Vlèková";"Mgr.";"";28;"analytièka v oblasti modelování katastrof";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;20;"Josef";"Skøíèek";"JUDr.";"";78;"právník";"Karviná";598917;99;1118;"A";0;0;"N";0;0
13;28;21;"Karel";"Èervenka";"";"";32;"podnikatel";"Píš";509647;99;1118;"A";0;0;"N";0;0
13;28;22;"Radek";"Filipczyk";"Ing.";"";51;"dopravní inenır";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;23;"Radim Ondøej";"Hıbl";"";"";43;"øidiè VZV";"Pøíbor";599808;99;1118;"A";0;0;"N";0;0
13;28;24;"Roman";"Ander";"Ing.";"";51;"podnikatel";"Krnov";597520;99;1118;"A";0;0;"N";0;0
13;28;25;"Vìra";"Válková";"";"";63;"projektantka";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;26;"Martina";"Jelínková";"Ing.";"";38;"finanèní manaerka";"Karviná";598917;99;1118;"A";0;0;"N";0;0
13;28;27;"Zdenìk";"Ševèík";"Mgr.";"";44;"pedagog, sbormistr Dìtského sborového studia";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;28;"Denis";"Nieslanik";"";"";21;"profesionální sportovec - fotbal";"Jablunkov";598259;99;1118;"A";0;0;"N";0;0
13;28;29;"Dagmar";"Hejdová";"Ing.";"MBA, LL.M.";54;"øeditelka Stavebního bytového drustva Bohumín";"Bohumín";599051;99;1118;"A";0;0;"N";0;0
13;28;30;"Libor";"Kulhánek";"";"";54;"dobrovolnı hasiè, kontrolor odboru øízení jakosti";"Sedlištì";598674;99;1118;"A";0;0;"N";0;0
13;28;31;"Jiøí";"Kubica";"Ing.";"";41;"majitel soukromé firmy, manaer, pedagog";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;32;"Martin";"Závodnı";"Ing.";"";43;"jednatel Zahrady Závodnı";"Palkovice";598551;99;1118;"A";0;0;"N";0;0
13;28;33;"Andrea";"Dolealová";"Ing.";"MBA";43;"vıkonná øeditelka mcePharma";"Ostrava";4;99;1118;"N";0;0;"N";0;0
13;28;34;"Julius";"Hvízdák";"Ing.";"";62;"støedoškolskı uèitel odbornıch pøedmìtù";"Hluèín";507016;99;1118;"A";0;0;"N";0;0
13;28;35;"Michal";"Kajzar";"";"";39;"OSVÈ";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;28;36;"Martin";"Troup";"Ing.";"";30;"skautskı vedoucí";"Orlová";599069;99;1118;"A";0;0;"N";0;0
13;28;37;"Pavel";"Krè";"Mgr.";"";44;"støedoškolskı uèitel";"Horní Bludovice";598178;99;1118;"A";0;0;"N";0;0
13;28;38;"Jana";"Mojíšková";"Mgr.";"";63;"støedoškolská uèitelka";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;28;39;"Dagmar";"Švidernochová";"Mgr.";"";62;"uèitelka základní školy";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;40;"Šárka";"Rozboøilová";"";"";59;"úèetní";"Havíøov";555088;99;1118;"A";0;0;"N";0;0
13;28;41;"Radek";"Bjaloò";"Ing.";"";32;"ekonom, podnikatel";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;42;"Martin Nicolas";"Kaminskı";"";"";24;"øidiè tramvaje";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;43;"Vladimír";"Èernı";"";"";69;"dùchodce";"Raškovice";549665;99;1118;"A";0;0;"N";0;0
13;28;44;"Rostislav";"Høivòák";"Ing.";"";39;"programátor";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;45;"Jaroslav";"Slezák";"";"";37;"šéfkuchaø";"Karviná";598917;99;1118;"A";0;0;"N";0;0
13;28;46;"Martin";"Koláø";"Mgr. Bc.";"";27;"pedagog";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;47;"Jana";"Vítková";"Bc.";"DiS.";36;"úèetní, jednatelka úklidové firmy";"Opava";505927;99;1118;"A";0;0;"N";0;0
13;28;48;"Martina";"Kahánková";"";"";47;"OSVÈ v oblasti slueb";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;49;"Renata";"Kupèová";"Mgr.";"";55;"vedoucí uèitelka mateøské školy";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;28;50;"Zuzana";"Šajtarová";"Ing.";"";37;"projektová manaerka";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;51;"David";"Vojvodík";"Mgr.";"";34;"vıvojáø modelù pøírodních katastrof";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;52;"Pavel";"Kubik";"";"";54;"soukromı zemìdìlec";"Písek";512028;99;1118;"A";0;0;"N";0;0
13;28;53;"Natalie";"Kaštovská";"";"";48;"øeditelka speciální MŠ pro tìlesnì postiené dìti";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;54;"Pavel";"Martiník";"";"";44;"úèetní";"Èeskı Tìšín";598933;99;1118;"A";0;0;"N";0;0
13;28;55;"Václav";"Sivák";"";"";21;"mistr svìta v kickboxu";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;56;"Ondøej";"Kafna";"Ing.";"";33;"technik podpory produktù";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;57;"Pavel";"Kafka";"";"";31;"øidiè";"Dobrá";598089;99;1118;"A";0;0;"N";0;0
13;28;58;"Nikol";"Ruèková";"Bc.";"";25;"studentka pedagogiky";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;59;"Jan";"Mojíšek";"";"";21;"student";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;28;60;"Ivan";"Herman";"";"";49;"údrbáø";"Jablunkov";598259;99;1118;"A";0;0;"N";0;0
13;28;61;"Jiøina";"Kováøová";"";"";80;"dùchodkynì";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;62;"Anna";"Mišová";"";"";64;"tkadlena";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;63;"Radek";"Tomis";"";"";53;"vedoucí plynoservisu, èlen spolku rybáøù";"Karviná";598917;99;1118;"A";0;0;"N";0;0
13;28;64;"Tereza";"Vašnovská";"Bc.";"";29;"autorka projektu ?Hry na chodník?";"Nošovice";552518;99;1118;"A";0;0;"N";0;0
13;28;65;"Radka";"Witová";"";"";51;"majitelka Salón Witová";"Horní Bludovice";598178;99;1118;"A";0;0;"N";0;0
13;28;66;"Sylva";"Olšovská";"Mgr.";"";66;"uèitelka základní školy";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;67;"Olga";"Ferková";"";"";64;"dùchodkynì";"Ostrava";4;99;1118;"A";0;0;"N";0;0
13;28;68;"Monika";"Kopøivová";"";"";43;"operátor vırobní linky";"Frıdek-Místek";598003;99;1118;"A";0;0;"N";0;0
13;29;1;"Jakub";"Unucka";"Ing.";"MBA";51;"námìstek hejtmana";"Klimkovice";599549;53;53;"A";0;0;"N";0;0
13;29;2;"Zdenka";"Nìmeèková Crkvenjaš";"MUDr.";"MBA";44;"pøednostka Kliniky popáleninové medicíny FN Ostr.";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;3;"Stanislav";"Folwarczny";"Mgr.";"";57;"námìstek hejtmana";"Èeskı Tìšín";598933;53;53;"A";0;0;"N";0;0
13;29;4;"Monika";"Klapková";"Mgr.";"";53;"støedoškolskı pedagog";"Opava";505927;721;721;"A";0;0;"N";0;0
13;29;5;"Radek";"Kaòa";"Mgr.";"";41;"starosta";"Šilheøovice";510432;53;53;"A";0;0;"N";0;0
13;29;6;"Vladimír";"Návrat";"Ing.";"";57;"projektant";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;7;"Josef Alexander";"Matera";"Mgr.";"";35;"odbornı konzultant, krajskı zastupitel";"Tøinec";598810;53;53;"A";0;0;"N";0;0
13;29;8;"Václav";"Dobrozemskı";"JUDr.";"";31;"místostarosta, právník";"Novı Jièín";599191;53;53;"A";0;0;"N";0;0
13;29;9;"Patrik";"Schramm";"Ing.";"";46;"starosta";"Budišov nad Budišovkou";506460;53;53;"A";0;0;"N";0;0
13;29;10;"Zbynìk";"Gajdacz";"Ing.";"MPA";56;"øeditel spoleènosti";"Albrechtice";598925;53;53;"A";0;0;"N";0;0
13;29;11;"Pavel";"Tuleja";"doc. Ing.";"Ph.D.";49;"vysokoškolskı pedagog";"Havíøov";555088;721;721;"A";0;0;"N";0;0
13;29;12;"Jan";"Abrahamèík";"Ing.";"";40;"jednatel spoleènosti";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;13;"Jiøí";"ák";"";"";61;"dopravní expert";"Bruntál";597180;53;53;"A";0;0;"N";0;0
13;29;14;"Yveta";"Kovalèíková";"Ing.";"";55;"starostka";"Krmelín";598348;53;53;"A";0;0;"N";0;0
13;29;15;"Aleš";"Linhart";"Ing.";"";44;"poradce, Evropskı parlament";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;16;"Dalibor";"Klimša";"Bc.";"";52;"sportovní manaer";"Havíøov";555088;53;53;"A";0;0;"N";0;0
13;29;17;"Miroslav";"Halatin";"Ing.";"";60;"starosta";"Frenštát pod Radhoštìm";599344;53;53;"A";0;0;"N";0;0
13;29;18;"Herbert";"Pavera";"Mgr.";"";62;"senátor";"Bolatice";506214;721;721;"A";0;0;"N";0;0
13;29;19;"Antonín";"Illík";"Ing.";"";54;"jednatel spoleènosti";"Bílovec";599247;53;53;"A";0;0;"N";0;0
13;29;20;"Zbynìk";"Hudeèek";"";"";56;"OSVÈ";"Frıdlant nad Ostravicí";598143;53;53;"A";0;0;"N";0;0
13;29;21;"Marek";"Veselı";"Ing.";"";46;"oblastní øeditel";"Opava";505927;53;53;"A";0;0;"N";0;0
13;29;22;"Radek";"Šnita";"Ing. Mgr.";"Ph.D., MBA";46;"jednatel spoleènosti";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;23;"Vítìzslav";"Šopík";"";"";44;"podnikatel";"Rımaøov";597783;53;53;"A";0;0;"N";0;0
13;29;24;"Jan";"Koloniènı";"Ing.";"Ph.D.";46;"místostarosta, akademickı pracovník";"Metylovice";512184;721;721;"A";0;0;"N";0;0
13;29;25;"Lukáš";"Kõnig";"Ing.";"";41;"technolog";"Baška";598011;53;53;"A";0;0;"N";0;0
13;29;26;"Pavel";"Struminskı";"Mgr.";"";45;"právník";"Chotìbuz";555291;53;53;"A";0;0;"N";0;0
13;29;27;"Radana";"Zapletalová";"Bc.";"";57;"galeristka";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;28;"Jan";"Stanjura";"Ing.";"";53;"auditor";"Opava";505927;53;53;"A";0;0;"N";0;0
13;29;29;"Jan";"Okoun";"";"";67;"mezinárodní zasilatel";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;30;"René";"Brinda";"Mgr.";"";54;"pedagog";"Pøíbor";599808;721;721;"A";0;0;"N";0;0
13;29;31;"Vavøinec";"Peèinka";"";"";47;"podnikatel";"Pstruí";552577;53;53;"A";0;0;"N";0;0
13;29;32;"Miroslav";"Kopeènı";"Ing.";"";63;"starosta";"Kopøivnice";599565;53;53;"A";0;0;"N";0;0
13;29;33;"Yvona";"Dluhošová";"Mgr.";"";55;"øeditelka mateøské školy";"Orlová";599069;53;53;"A";0;0;"N";0;0
13;29;34;"Vítìzslav";"Bystroò";"Ing.";"";66;"technik";"Ostrava";4;53;53;"A";0;0;"N";0;0
13;29;35;"Vladimír";"Chlebiš";"";"";47;"jednatel spoleènosti";"Hluèín";507016;53;53;"A";0;0;"N";0;0
