KRZAST;KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT
2;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
2;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
2;23;1237;"VIZE - národní socialisté";"VIZE - národní socialisté";"VIZE - národní socialisté";"VIZENS";1;"1237";"0";"A";""
2;33;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";"0";"A";""
2;38;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"0";"A";""
2;43;762;"ALIANCE NÁRODNÍCH SIL";"ALIANCE NÁRODNÍCH SIL";"ALIANCE NÁRODNÍCH SIL";"ANS";1;"762";"0";"A";""
2;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
2;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
2;53;1058;"TOP 09 a KDU-ÈSL - Spoleènì pro jižní Èechy";"TOP 09 a KDU-ÈSL - Spoleènì pro jižní Èechy";"TOP 09 a KDU-ÈSL - Spol.pro JÈ";"KDU-ÈSL+TOP 09";2;"001,721";"0";"A";""
2;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
2;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
2;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
2;71;714;"Svobodní";"Svobodní";"Svobodní";"Svobodní";1;"714";"0";"A";""
2;72;1229;"Zmìna 2020";"Zmìna 2020";"Zmìna 2020";"Z 2020";1;"1229";"0";"A";""
2;80;766;"JIHOÈEŠI 2012";"JIHOÈEŠI 2012";"JIHOÈEŠI 2012";"JIH 12";1;"766";"0";"A";""
2;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
2;84;1190;"Moravské zemské hnutí";"Moravské zemské hnutí";"Moravské zemské hnutí";"MZH";1;"1190";"0";"A";""
3;1;1179;"BEZPEÈNOST, ODPOVÌDNOST, SOLIDARITA";"BEZPEÈNOST, ODPOVÌDNOST, SOLIDARITA";"BEZPEÈNOST,ODPOVÌDNOST,SOLID.";"BOS";1;"1179";"0";"A";""
3;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
3;9;1474;"KDU-ÈSL, ADS A NESTRANÍCI - KOALICE PRO PLZEÒSKÝ KRAJ";"KDU-ÈSL, ADS A NESTRANÍCI - KOALICE PRO PLZ. KRAJ";"KDU-ÈSL, ADS A NESTRANÍCI";"KDU+ADS+Nestr.";3;"001,181,1119";"0";"A";""
3;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
3;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
3;35;1453;"Dìlnická strana sociální spravedlnosti - Èistý kraj - Bez ubytoven zahranièních dìlníkù!";"Dìlnická strana sociál. spravedlnosti - Èistý kraj";"DSSS - Èistý kraj";"DSSS+ÈiKR";2;"156,1021";"0";"A";""
3;43;762;"ALIANCE NÁRODNÍCH SIL";"ALIANCE NÁRODNÍCH SIL";"ALIANCE NÁRODNÍCH SIL";"ANS";1;"762";"1";"A";""
3;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
3;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
3;58;1475;"STAROSTOVÉ (STAN) s JOSEFEM BERNARDEM a podporou Zelených, PRO Plzeò a Idealistù";"STAN s podporou Zelených, PRO Plzeò a Idealistù";"STAN,Zelení,PRO PLZEÒ";"STAN+Z+PROPLZEÒ";3;"005,166,1014";"0";"A";""
3;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
3;65;716;"Strana soukromníkù Èeské republiky";"Strana soukromníkù Èeské republiky";"Strana soukromníkù ÈR";"Soukromníci";1;"716";"0";"A";""
3;68;55;"Koruna Èeská (monarchistická strana Èech, Moravy a Slezska)";"Koruna Èeská (monarch.str.Èech, Moravy a Slezska)";"Koruna Èeská (monarch.strana)";"Monarchiste.cz";1;"055";"0";"A";""
3;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
3;74;687;"Obèanská demokratická strana s podporou TOP 09 a nezávislých starostù";"ODS s podporou TOP 09 a nezávislých starostù";"ODS s podp.TOP 09 a nez.star.";"ODS+TOP 09";2;"053,721";"0";"A";""
3;79;1231;"Alternativa pro nezávislé kandidáty 2020 - ANK 2020";"Alternativa pro nezávislé kandidáty 2020-ANK 2020";"Aletrnativa pro nez.kand.2020";"ANK 2020";1;"1231";"0";"A";""
3;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
4;2;769;"Strana konzervativní pravice - Øád národa";"Strana konzervativní pravice - Øád národa";"Str. konz. pravice-Øád národa";"SKP - ØN";1;"769";"0";"A";""
4;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
4;13;5;"Strana zelených";"Strana zelených";"Strana zelených";"Zelení";1;"005";"0";"A";""
4;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
4;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
4;24;1453;"STOP rouškám a likvidaci ekonomiky";"STOP rouškám a likvidaci ekonomiky";"Koalice DSSS, ÈiKR";"DSSS+ÈiKR";2;"156,1021";"0";"A";""
4;26;1451;"VOK - Volba pro kraj s podporou hnutí Karlovaráci";"VOK - Volba pro kraj s podporou hnutí Karlovaráci";"Koalice VOK, KVC";"KVC+VOK";2;"1028,1118";"0";"A";""
4;34;785;"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"PRO Zdraví";1;"785";"0";"A";""
4;39;1129;"Sdružení nezávislých kandidátù 1 - Starostové našeho kraje";"Sdružení nez.kandidátù 1 - Starostové našeho kraje";"SNK1 - Starostové našeho kraje";"SNK1";1;"1129";"0";"A";""
4;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
4;49;112;"MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MÌST";"MÍSTNÍ HNUTÍ NEZ. ZA HARMONICKÝ ROZVOJ OBCÍ A MÌST";"MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ";"HNHRM";1;"112";"0";"A";""
4;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
4;61;210;"Koalice ODS a KDU-ÈSL s podporou Soukromníkù";"Koalice ODS a KDU-ÈSL s podporou Soukromníkù";"Koalice ODS+KDU-ÈSL";"KDU-ÈSL+ODS";2;"001,053";"0";"A";""
4;62;659;"STAN - Starostové a nezávislí spoleènì s KOA, VPM Cheb a TOP 09";"Starostové a nezáv. spol. s KOA, VPM Cheb a TOP 09";"Koalice STAN, TOP 09";"TOP+STAN";2;"166,721";"0";"A";""
4;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
4;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
4;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
5;3;1453;"Èistý a lepší sever";"Èistý a lepší sever";"Koalice DSSS, ÈiKR";"DSSS+ÈiKR";2;"156,1021";"0";"A";""
5;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
5;7;166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";"0";"A";""
5;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
5;18;79;"Národní demokracie";"Národní demokracie";"Národní demokracie";"ND";1;"079";"0";"A";""
5;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
5;23;1237;"VIZE - národní socialisté";"VIZE - národní socialisté";"VIZE - národní socialisté";"VIZENS";1;"1237";"0";"A";""
5;28;1118;"VOK - Volba pro kraj";"VOK - Volba pro kraj";"VOK - Volba pro kraj";"VOK";1;"1118";"0";"A";""
5;33;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";"0";"A";""
5;41;704;"Severoèeši.cz";"Severoèeši.cz";"Severoèeši.cz";"S.cz";1;"704";"0";"A";""
5;42;1478;"LEPŠÍ SEVER";"LEPŠÍ SEVER";"Koalice UFO, ProMOST";"UFO+ProMOST";2;"1012,1175";"0";"A";""
5;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
5;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
5;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
5;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
5;71;714;"Svobodní";"Svobodní";"Svobodní";"Svobodní";1;"714";"0";"A";""
5;75;747;"ZaRegion";"ZaRegion";"ZaRegion";"ZaRegion";1;"747";"0";"A";""
5;77;1456;"Spojenci pro kraj";"Spojenci pro kraj";"JsmePRO,LES,SNKED,Zelení,TOP09";"JP+LES+ED+Z+TOP";5;"005,129,721,795,1126";"0";"A";""
5;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
6;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
6;10;103;"Strana pro otevøenou spoleènost";"Strana pro otevøenou spoleènost";"Str.pro otevøenou spoleènost";"SOS";1;"103";"0";"A";""
6;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
6;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
6;20;703;"Starostové pro Liberecký kraj";"Starostové pro Liberecký kraj";"Starostové pro Liberecký kraj";"SLK";1;"703";"0";"A";""
6;33;53;"Obèanská demokratická strana";"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";"0";"A";""
6;38;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"0";"A";""
6;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
6;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
6;55;1141;"Soukromníci a Svobodní";"Soukromníci a Svobodní";"Soukromníci a Svobodní";"Soukrom+Svobod";2;"714,716";"0";"A";""
6;59;1058;"Spoleènì pro Liberecký kraj";"Spoleènì pro Liberecký kraj";"Spoleènì pro Liberecký kraj";"KDU-ÈSL+TOP 09";2;"001,721";"0";"A";""
6;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
6;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
6;78;1471;"Zmìna pro lidi a pro krajinu";"Zmìna pro lidi a pro krajinu";"Zmìna pro lidi a pro krajinu";"Zmìna+NBPLK";2;"771,780";"0";"A";""
6;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
6;85;1444;"Pro KRAJinu";"Pro KRAJinu";"Pro KRAJinu";"Zelení+LES";2;"005,795";"0";"A";""
7;4;227;"SPOLU PRO KRAJ - Osobnosti kraje, ÈSSD a Zelení";"SPOLU PRO KRAJ - Osobnosti kraje, ÈSSD a Zelení";"Koalice ÈSSD, Zelení";"ÈSSD + Zelení";2;"005,007";"0";"A";""
7;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
7;14;1217;"Moravská a Slezská pirátská strana";"Moravská a Slezská pirátská strana";"Morav. a Slez. pirátská strana";"MS Piráti";1;"1217";"1";"A";""
7;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
7;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
7;32;1455;"Koalice pro Královéhradecký kraj - KDU-ÈSL - VPM - Nestraníci";"Koalice pro KH kraj - KDU-ÈSL - VPM - Nestraníci";"Koalice KDU-ÈSL, VPM, Nestran.";"KDU+VPM+Nestr.";3;"001,113,181";"0";"A";""
7;47;1464;"Spojenci pro Královéhradecký kraj";"Spojenci pro Královéhradecký kraj";"Koalice TOP 09, HDK, LES";"TOP 09+HDK+LES";3;"721,795,1049";"0";"A";""
7;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
7;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
7;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
7;70;1227;"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra hnutí obèanù";"Trikolóra";1;"1227";"0";"A";""
7;73;1454;"Obèanská demokratická strana + STAROSTOVÉ A NEZÁVISLÍ a VÝCHODOÈEŠI";"ODS + STAROSTOVÉ A NEZÁVISLÍ a VÝCHODOÈEŠI";"Koalice ODS, STAN, VÈ";"ODS+STAN+VÈ";3;"053,166,770";"0";"A";""
7;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
8;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
8;7;166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";"0";"A";""
8;8;1446;"Trikolóra hnutí obèanù a Strana soukromníkù Èeské republiky";"Trikolóra hnutí obèanù a Strana soukromníkù ÈR";"Trikolóra a Strana soukr. ÈR";"Trikol+Soukrom";2;"716,1227";"0";"A";""
8;11;687;"ODS a TOP 09";"ODS a TOP 09";"ODS a TOP 09";"ODS+TOP 09";2;"053,721";"0";"A";""
8;13;5;"Strana zelených";"Strana zelených";"Strana zelených";"Zelení";1;"005";"0";"A";""
8;15;770;"VÝCHODOÈEŠI";"VÝCHODOÈEŠI";"VÝCHODOÈEŠI";"VÈ";1;"770";"0";"A";""
8;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
8;17;344;"Koalice pro Pardubický kraj";"Koalice pro Pardubický kraj";"Koalice pro Pardubický kraj";"KDU+SNKED+Nestr";3;"001,129,181";"0";"A";""
8;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
8;22;83;"Moravané, pro zachování Moravy se pøi sèítání lidu 2021 opìt pøihlasme k moravské národnosti";"Moravané-pøi SLDB 2021 se pøihlasme k morav. nár.";"Moravané";"Moravané";1;"083";"0";"A";""
8;30;1468;"3PK - Pro prosperující Pardubický kraj";"3PK - Pro prosperující Pardubický kraj";"3PK-Pro prosperující Pard. kr.";"ÈSSD+SproK";2;"007,1228";"0";"A";""
8;34;785;"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"Zdraví Sport Prosperita";"PRO Zdraví";1;"785";"0";"A";""
8;36;1453;"Dìlnická strana sociální spravedlnosti - STOP KRIMIGRANTÙM!";"DSSS - STOP KRIMIGRANTÙM!";"DSSS - STOP KRIMIGRANTÙM!";"DSSS+ÈiKR";2;"156,1021";"0";"A";""
8;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
8;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
8;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
8;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
8;83;1234;"Mladí pro Pardubický kraj";"Mladí pro Pardubický kraj";"Mladí pro Pardubický kraj";"MPK";1;"1234";"0";"A";""
9;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
9;12;1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"0";"A";""
9;13;5;"Strana zelených";"Strana zelených";"Strana zelených";"Zelení";1;"005";"0";"A";""
9;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
9;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
9;25;1465;"Pro TOP Vysoèinu";"Pro TOP Vysoèinu";"Pro TOP Vysoèinu";"TOP+KAN+Monarch";3;"040,055,721";"0";"A";""
9;27;1152;"Starostové pro Vysoèinu";"Starostové pro Vysoèinu";"Starostové pro Vysoèinu";"STAN+SNK ED";2;"129,166";"0";"A";""
9;31;1446;"TRIKOLÓRA - SOUKROMNÍCI";"TRIKOLÓRA - SOUKROMNÍCI";"TRIKOLÓRA - SOUKROMNÍCI";"Trikol+Soukrom";2;"716,1227";"0";"A";""
9;38;156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"0";"A";""
9;45;7;"Èeská strana sociálnì demokratická";"Èeská strana sociálnì demokratická";"Èeská str.sociálnì demokrat.";"ÈSSD";1;"007";"0";"A";""
9;46;1447;"ODS a Starostové pro obèany";"ODS a Starostové pro obèany";"ODS a Starostové pro obèany";"ODS+STO";2;"053,779";"0";"A";""
9;50;768;"ANO 2011";"ANO 2011";"ANO 2011";"ANO";1;"768";"0";"A";""
9;63;47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"0";"A";""
9;67;98;"Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravý Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"0";"A";""
9;82;137;"ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty";"ROZUMNÍ-Petr Hannig-za spravedlnost a živ. jistoty";"ROZUMNÍ - Petr Hannig";"Rozumní";1;"137";"0";"A";""
9;84;1190;"Moravské zemské hnutí";"Moravské zemské hnutí";"Moravské zemské hnutí";"MZH";1;"1190";"0";"A";""
10;5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0";"A";""
10;12;1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"0";"A";""
10;16;1114;"Svoboda a pøímá demokracie (SPD)";"Svoboda a pøímá demokracie (SPD)";"Svoboda a pø. demokracie (SPD)";"SPD";1;"1114";"0";"A";""
10;19;720;"Èeská pirátská strana";"Èeská pirátská strana";"Èeská pirátská strana";"Piráti";1;"720";"0";"A";""
